CourseID,CourseName,Chain,Semester Offer,CreditHours
CL1000,Introduction to Information and Communication Technology,No,1,1
CL1002,Programming Fundamentals - Lab,No,1,1
CS1002,Programming Fundamentals,No,1,3
MT1003,Calculus and Analytical Geometry,No,1,3
MT1004,Linear Algebra,No,1,3
SL1004,English Composition and Comprehension - Lab,No,1,1
SS1003,Pakistan Studies,No,1,3
SS1004,English Composition and Comprehension,No,1,2
CL1004,Object Oriented Programming - Lab,CL1002,2,1
CS1004,Object Oriented Programming,CS1004,2,3
EE1005,Digital Logic Design,No,2,3
EL1005,Digital Logic Design - Lab,,2,1
SL1008,Communication and Presentation Skills - Lab,,2,1
SS1002,Islamic Studies/Ethics,,2,3
SS1008,Communication and Presentation Skills,,2,2
MT1006,Differential Equations,MT1003,2,3
